,time,text,country
0,2022-11-21 03:58:55+00:00,"FIFA World Cup is one of the most-watched sporting events in the world—in 2018, nearly 3.6 billion people tuned in to watch the tournament. #Brazil #Belgium #Argentina #France #England are the top 5 ranked teams this #QatarWorldCup2022 #Qatar2022 #WorldCup2022 #WorldCup https://t.co/YuHqVkdppk",Argentina
1,2022-11-21 03:32:04+00:00,"😍 The #WorldCup2022 begins on Sunday.

⚽️ Make sure you enter our World Cup Predictor for a chance to win up to $100,000!

🤑 Play for FREE, win for REAL.

💰 Retweet and tag a friend. One lucky user will win $1,000! 

#FIFAWorldCup #Argentina #Messi

https://t.co/7LMQr4suDT https://t.co/wlaByY6DEJ",Argentina
2,2022-11-21 03:26:22+00:00,"😍 The #WorldCup2022 begins on Sunday.

⚽️ Make sure you enter our World Cup Predictor for a chance to win up to $100,000!

🤑 Play for FREE, win for REAL.

💰 Retweet and tag a friend. One lucky user will win $1,000! 

#FIFAWorldCup #Argentina #Messi

https://t.co/7LMQr4suDT https://t.co/wlaByY6DEJ",Argentina
3,2022-11-21 03:20:14+00:00,"😍 The #WorldCup2022 begins on Sunday.

⚽️ Make sure you enter our World Cup Predictor for a chance to win up to $100,000!

🤑 Play for FREE, win for REAL.

💰 Retweet and tag a friend. One lucky user will win $1,000! 

#FIFAWorldCup #Argentina #Messi

https://t.co/7LMQr4suDT https://t.co/wlaByY6DEJ",Argentina
4,2022-11-21 03:14:19+00:00,"FIFA World Cup is one of the most-watched sporting events in the world—in 2018, nearly 3.6 billion people tuned in to watch the tournament. #Brazil #Belgium #Argentina #France #England are the top 5 ranked teams this #QatarWorldCup2022 #Qatar2022 #WorldCup2022 #WorldCup https://t.co/YuHqVkdppk",Argentina
5,2022-11-21 03:13:46+00:00,"😍 The #WorldCup2022 begins on Sunday.

⚽️ Make sure you enter our World Cup Predictor for a chance to win up to $100,000!

🤑 Play for FREE, win for REAL.

💰 Retweet and tag a friend. One lucky user will win $1,000! 

#FIFAWorldCup #Argentina #Messi

https://t.co/7LMQr4suDT https://t.co/wlaByY6DEJ",Argentina
6,2022-11-21 02:48:03+00:00,"Free wallpaper for #Argentina fans around the world featuring Messi, Di Maria, and Dybala. Enjoy!

#QatarWorldCup2022 #FIFAWorldCup #WorldCup2022 #Messi #Dimaria #Dybala #football https://t.co/hFb4WFjOMm",Argentina
7,2022-11-21 02:44:31+00:00,"Good morning 🌻

#leomessi 
#Messi
#Argentina 
#goodmorning 
#GoodMorningTwitterWorld 
#FIFAWorldCup @FIFAWorldCup
@FIFAcom  #FIFAWorldCup2022 
#FIFA 
#QatarWorldCup2022 
#Kerala https://t.co/Fv4DejwIEZ",Argentina
8,2022-11-21 02:32:51+00:00,"Good morning 🌻

#leomessi 
#Messi
#Argentina 
#goodmorning 
#GoodMorningTwitterWorld 
#FIFAWorldCup @FIFAWorldCup
@FIFAcom  #FIFAWorldCup2022 
#FIFA 
#QatarWorldCup2022 
#Kerala https://t.co/Fv4DejwIEZ",Argentina
9,2022-11-21 07:55:56+00:00,"😍 The #WorldCup2022 begins on Sunday.

⚽️ Make sure you enter our World Cup Predictor for a chance to win up to $100,000!

🤑 Play for FREE, win for REAL.

💰 Retweet and tag a friend. One lucky user will win $1,000! 

#FIFAWorldCup #Argentina #Messi

https://t.co/7LMQr4suDT https://t.co/wlaByY6DEJ",Argentina
10,2022-11-21 07:54:25+00:00,"😍 The #WorldCup2022 begins on Sunday.

⚽️ Make sure you enter our World Cup Predictor for a chance to win up to $100,000!

🤑 Play for FREE, win for REAL.

💰 Retweet and tag a friend. One lucky user will win $1,000! 

#FIFAWorldCup #Argentina #Messi

https://t.co/7LMQr4suDT https://t.co/wlaByY6DEJ",Argentina
11,2022-11-21 07:49:31+00:00,"😍 The #WorldCup2022 begins on Sunday.

⚽️ Make sure you enter our World Cup Predictor for a chance to win up to $100,000!

🤑 Play for FREE, win for REAL.

💰 Retweet and tag a friend. One lucky user will win $1,000! 

#FIFAWorldCup #Argentina #Messi

https://t.co/7LMQr4suDT https://t.co/wlaByY6DEJ",Argentina
12,2022-11-21 07:46:14+00:00,"Zinedine Zidane’s boots in the 2006 and his final World Cup and Lionel Messi’s boots in the 2022 and his final World Cup.

#Zidane #Messi𓃵 #WorldCup #WorldCup2006 #WorldCup2022 #Qatar2022 #adidas #Argentina #France https://t.co/cfT270BmYN",Argentina
13,2022-11-21 07:46:02+00:00,"#FIFA #WorldCup2022 'FAN LUNGI' from #Bangladesh. Although 32 countries are participating in the World Cup football, these lungis are made to match the jerseys of only five countries, which are #Argentina, #Brazil, #Spain, #France, and #Germany. https://t.co/tUYQBUk46b",Argentina
14,2022-11-21 07:43:38+00:00,"Top teams participating in the FIFA World Cup 2022 ⚽️ in Qatar according to FIFA rating:

1. Brazil🇧🇷- 1841 points
2. Belgium🇧🇪- 1816 points
3. Argentina🇦🇷 - 1773 points

What team are you rooting for?
#WorldCup2022 #BrasilNasRuas #Belgium #Argentina",Argentina
